deliverydate,peaktype,coast,east,far_west,north,north_c,southern,south_c,west,total
11/1/2016 0:00,PeakWD,12629,1663,2250,1317,14131,4019,7689,1249,44952
11/2/2016 0:00,PeakWD,13272,1698,2210,1341,13920,4036,7712,1272,45462
11/3/2016 0:00,PeakWD,13091,1654,2090,956,12002,3845,7065,1122,41830
11/4/2016 0:00,PeakWD,12633,1496,2079,847,11863,3571,6223,1109,39825
11/7/2016 0:00,PeakWD,11427,1468,2110,856,11251,3596,6171,1138,38021
11/8/2016 0:00,PeakWD,10643,1387,2056,862,11072,2919,5881,1082,35904
11/9/2016 0:00,PeakWD,10589,1308,2070,815,10953,2830,5597,1045,35211
11/10/2016 0:00,PeakWD,10120,1252,2089,855,10981,2765,5564,1045,34674
11/11/2016 0:00,PeakWD,10070,1264,2061,875,10959,2768,5586,1028,34615
11/14/2016 0:00,PeakWD,10588,1365,2094,866,11467,2997,6017,1061,36460
11/15/2016 0:00,PeakWD,10950,1417,2097,846,11610,3206,6197,1057,37384
11/16/2016 0:00,PeakWD,11163,1454,2111,934,11978,3171,6154,1102,38072
11/17/2016 0:00,PeakWD,11682,1429,2113,942,11882,3369,6287,1132,38838
11/18/2016 0:00,PeakWD,10830,1337,2118,913,10690,3349,5884,1064,36190
11/21/2016 0:00,PeakWD,10092,1402,2094,917,10966,2905,5665,1079,35122
11/22/2016 0:00,PeakWD,10970,1403,2093,927,11164,3213,5939,1088,36800
11/23/2016 0:00,PeakWD,10149,1326,2107,884,10866,3186,5667,1081,35271
11/25/2016 0:00,PeakWD,9373,1166,2103,848,9835,2980,5218,1045,32572
11/28/2016 0:00,PeakWD,11412,1370,2121,942,10943,3484,6064,1118,37459
11/29/2016 0:00,PeakWD,11778,1380,2126,864,10970,3433,5810,1064,37429
11/30/2016 0:00,PeakWD,10181,1453,2155,973,11512,2827,5671,1109,35884
12/1/2016 0:00,PeakWD,10076,1471,2133,948,11595,2777,5739,1099,35841
12/2/2016 0:00,PeakWD,9987,1438,2180,919,11311,3011,5725,1159,35735
12/5/2016 0:00,PeakWD,10678,1600,2148,1044,12521,2828,6420,1253,38495
12/6/2016 0:00,PeakWD,10099,1516,2216,1000,12875,2840,6047,1298,37895
12/7/2016 0:00,PeakWD,10246,1551,2290,1051,13191,2923,6364,1343,38962
12/8/2016 0:00,PeakWD,11403,1990,2501,1187,16764,3514,8026,1617,47005
12/9/2016 0:00,PeakWD,11425,1772,2311,1151,15983,3896,7660,1513,45714
12/12/2016 0:00,PeakWD,10556,1741,2152,1024,11919,2950,5823,1135,37303
12/13/2016 0:00,PeakWD,10880,1713,2156,996,12182,3026,5688,1134,37780
12/14/2016 0:00,PeakWD,10141,1658,2197,1094,13481,2878,5976,1236,38664
12/15/2016 0:00,PeakWD,10392,1418,2326,1256,14895,2804,6412,1414,40919
12/16/2016 0:00,PeakWD,10457,1367,2135,1055,12582,2875,5930,1127,37532
12/19/2016 0:00,PeakWD,12494,2114,2308,1299,17304,4261,8298,1891,49972
12/20/2016 0:00,PeakWD,11099,1639,2191,1061,14076,3257,6757,1677,41761
12/21/2016 0:00,PeakWD,10199,1452,2176,1022,12441,2942,6012,1334,37582
12/22/2016 0:00,PeakWD,10044,1824,2214,1023,12201,2879,5774,1260,37224
12/23/2016 0:00,PeakWD,10287,1515,2140,1000,12128,2998,5635,1146,36851
12/27/2016 0:00,PeakWD,11689,1181,2148,963,10285,3295,5966,1647,37177
12/28/2016 0:00,PeakWD,11628,1327,2121,881,10885,3248,6260,1265,37619
12/29/2016 0:00,PeakWD,9900,1356,2277,972,11413,2843,5555,1192,35513
12/30/2016 0:00,PeakWD,10084,1500,2289,1075,12458,2749,6178,1350,37686
1/3/2017 0:00,PeakWD,10236,1456,2144,1081,12937,2995,5671,1167,37689
1/4/2017 0:00,PeakWD,10568,1771,2212,1226,15463,2851,6864,1371,42330
1/5/2017 0:00,PeakWD,10540,1759,2399,1315,16742,2876,6303,1426,43365
1/6/2017 0:00,PeakWD,13468,2306,2456,1418,20509,4377,9758,1852,56148
1/9/2017 0:00,PeakWD,10189,1583,2146,1052,12455,2911,6004,1270,37614
1/10/2017 0:00,PeakWD,10487,1310,2123,888,11008,2890,5673,1137,35519
1/11/2017 0:00,PeakWD,10837,1354,2122,953,11208,3013,5780,1115,36386
1/12/2017 0:00,PeakWD,11288,1400,2118,925,11203,3132,5993,1097,37159
1/13/2017 0:00,PeakWD,11154,1370,2305,1047,12893,3098,5961,1239,39069
1/16/2017 0:00,PeakWD,11253,1357,2142,954,11230,3063,5616,1149,36767
1/17/2017 0:00,PeakWD,10325,1439,2303,969,12990,3082,6103,1315,38529
1/18/2017 0:00,PeakWD,10292,1483,2173,1021,12892,2762,6046,1247,37920
1/19/2017 0:00,PeakWD,10089,1424,2194,970,11542,2748,5674,1149,35792
1/20/2017 0:00,PeakWD,10538,1223,2168,941,10930,2792,5574,1116,35287
1/23/2017 0:00,PeakWD,10015,1320,2153,976,11350,2778,5633,1122,35349
1/24/2017 0:00,PeakWD,10602,1324,2120,968,11023,3106,5763,1085,35996
1/25/2017 0:00,PeakWD,10058,1341,2252,976,12159,2876,5448,1188,36302
1/26/2017 0:00,PeakWD,9980,1550,2251,986,13132,2708,6042,1275,37927
1/27/2017 0:00,PeakWD,10425,1562,2359,1023,13133,2938,6438,1325,39206
1/30/2017 0:00,PeakWD,10332,1344,2073,915,11152,2805,5734,1222,35580
1/31/2017 0:00,PeakWD,10186,1325,2043,902,11033,2780,5637,1203,35112
2/1/2017 0:00,PeakWD,10682,1354,2024,915,10984,2968,5640,1190,35761
2/2/2017 0:00,PeakWD,10360,1446,2121,1072,13115,3002,5834,1282,38234
2/3/2017 0:00,PeakWD,10062,1501,2187,1003,12744,2808,6508,1434,38251
2/6/2017 0:00,PeakWD,10990,1392,2057,962,11554,3150,5924,1197,37231
2/7/2017 0:00,PeakWD,11605,1382,2043,842,11248,3336,6157,1166,37783
2/8/2017 0:00,PeakWD,11681,1374,2033,933,10956,3422,5965,1163,37532
2/9/2017 0:00,PeakWD,9731,1358,2045,1050,11876,2835,5548,1238,35684
2/10/2017 0:00,PeakWD,10153,1329,2106,987,10989,3085,5665,1189,35505
2/13/2017 0:00,PeakWD,10652,1340,2210,920,10897,3288,5954,1298,36563
2/14/2017 0:00,PeakWD,9710,1389,2254,1073,13337,2762,5622,1386,37538
2/15/2017 0:00,PeakWD,9784,1388,2117,973,12028,2717,5778,1268,36056
2/16/2017 0:00,PeakWD,9701,1427,2121,972,11465,2746,5665,1213,35315
2/17/2017 0:00,PeakWD,9584,1358,2069,897,10866,2958,5538,1156,34430
2/20/2017 0:00,PeakWD,9920,1358,2092,918,10904,2805,5637,1182,34819
2/21/2017 0:00,PeakWD,10027,1329,2066,880,10944,2992,5615,1171,35027
2/22/2017 0:00,PeakWD,10481,1380,2112,896,11285,3176,5974,1178,36485
2/23/2017 0:00,PeakWD,10767,1401,2116,967,11890,3370,6277,1245,38036
2/24/2017 0:00,PeakWD,10733,1305,2057,884,10578,3293,5765,1157,35775
2/27/2017 0:00,PeakWD,11449,1450,2073,937,11167,3399,6122,1214,37816
2/28/2017 0:00,PeakWD,11881,1513,2095,940,11882,3533,6271,1220,39337
3/1/2017 0:00,PeakWD,11209,1280,2072,893,10762,3264,5641,1161,36285
3/2/2017 0:00,PeakWD,9701,1298,2082,852,11067,2650,5516,1243,34414
3/3/2017 0:00,PeakWD,9675,1329,2118,924,10763,2771,5503,1261,34347
3/6/2017 0:00,PeakWD,11301,1488,2132,962,11762,3564,6317,1201,38730
3/7/2017 0:00,PeakWD,11434,1379,2071,911,10701,3632,5691,1104,36927
3/8/2017 0:00,PeakWD,10480,1374,2129,905,10994,3333,5681,1135,36035
3/9/2017 0:00,PeakWD,11398,1461,2108,886,11437,3256,6110,1192,37851
3/10/2017 0:00,PeakWD,11325,1496,2084,833,10960,3124,6020,1150,36995
3/13/2017 0:00,PeakWD,9877,1420,2072,952,10976,2619,5548,1147,34614
3/14/2017 0:00,PeakWD,9870,1377,2097,949,11145,2738,5429,1141,34750
3/15/2017 0:00,PeakWD,9586,1286,2092,947,10805,2968,5504,1112,34302
3/16/2017 0:00,PeakWD,10125,1318,2144,920,10800,3123,5734,1194,35361
3/17/2017 0:00,PeakWD,10731,1344,2143,950,11162,3222,5997,1243,36796
3/20/2017 0:00,PeakWD,12296,1556,2223,1017,13347,3418,6598,1267,41724
3/21/2017 0:00,PeakWD,12243,1531,2210,1016,13121,3442,6609,1305,41480
3/22/2017 0:00,PeakWD,12415,1527,2213,956,12980,3479,6561,1258,41393
3/23/2017 0:00,PeakWD,12206,1591,2178,1037,12763,3420,6430,1241,40870
3/24/2017 0:00,PeakWD,11888,1393,2086,964,11373,3495,6349,1266,38818
3/27/2017 0:00,PeakWD,13258,1594,2106,907,11756,3649,7136,1299,41709
3/28/2017 0:00,PeakWD,13494,1603,2128,886,12138,3767,6888,1283,42191
3/29/2017 0:00,PeakWD,12234,1454,2055,920,11817,3633,6424,1228,39767
